data,age,gender
531,28,1
531,,
477,,
431,,
201,,
308,,
448,,
197,,
212,,
212,,
210,,
280,,
280,,
177,,
180,,
230,,
430,,
491,,
625,,
650,,
531,,
430,,
407,,
407,,
189,,
339,,
499,,
386,,
422,,
326,,
411,,
504,,
621,,
520,,
520,,
535,,
360,,
327,,
334,,
377,,
308,,
300,,
273,,
223,,
233,,
233,,
274,,
389,,
515,,
585,,
574,,
445,,
438,,
361,,
452,,
287,,
287,,
239,,
200,,
269,,
232,,
219,,
301,,
289,,
248,,
237,,
298,,
298,,
197,,
173,,
254,,
276,,
239,,
540,,
718,,
636,,
431,,
209,,
209,,
249,,
597,,
393,,
208,,
266,,
311,,
188,,
156,,
164,,
298,,
298,,
110,,
134,,
162,,
241,,
280,,
520,,
525,,
312,,
212,,
108,,
108,,
125,,
250,,
145,,
146,,
173,,
292,,
306,,
379,,
422,,
437,,
437,,
407,,
420,,
393,,
571,,
595,,
251,,
344,,
427,,
495,,
325,,
325,,
204,,
117,,
328,,
413,,
844,,
964,,
914,,
469,,
138,,
196,,
196,,
350,,
465,,
436,,
260,,
116,,
94,,
150,,
169,,
131,,
89,,
89,,
109,,
164,,
75,,
78,,
135,,
163,,
145,,
166,,
200,,
76,,
76,,
75,,
76,,
115,,
80,,
85,,
260,,
98,,
110,,
103,,
229,,
229,,
94,,
59,,
80,,
281,,
82,,
60,,
62,,
112,,
162,,
113,,
113,,
123,,
98,,
101,,
72,,
73,,
260,,
651,,
848,,
737,,
706,,
706,,
461,,
176,,
146,,
174,,
203,,
292,,
354,,
559,,
249,,
228,,
228,,
238,,
268,,
226,,
144,,
87,,
251,,
272,,
294,,
244,,
266,,
266,,
247,,
649,,
964,,
963,,
963,,
588,,
380,,
180,,
396,,
680,,
680,,
754,,
721,,
507,,
473,,
432,,
281,,
211,,
156,,
179,,
338,,
338,,
428,,
443,,
396,,
271,,
212,,
124,,
237,,
284,,
589,,
961,,
961,,
963,,
492,,
310,,
700,,
907,,
964,,
852,,
610,,
460,,
373,,
373,,
132,,
141,,
210,,
230,,
169,,
76,,
175,,
114,,
111,,
104,,
104,,
205,,
133,,
116,,
120,,
248,,
257,,
210,,
134,,
216,,
123,,
123,,
102,,
112,,
192,,
107,,
107,,
104,,
166,,
90,,
120,,
91,,
91,,
266,,
204,,
233,,
196,,
106,,
221,,
112,,
108,,
147,,
313,,
313,,
677,,
826,,
727,,
443,,
145,,
203,,
297,,
378,,
390,,
387,,
387,,
660,,
646,,
549,,
461,,
389,,
259,,
171,,
290,,
348,,
295,,
295,,
308,,
253,,
212,,
183,,
235,,
199,,
169,,
261,,
206,,
197,,
197,,
115,,
198,,
111,,
141,,
317,,
150,,
122,,
153,,
132,,
98,,
98,,
70,,
278,,
195,,
221,,
159,,
208,,
144,,
161,,
162,,
212,,
212,,
126,,
184,,
446,,
636,,
611,,
503,,
342,,
195,,
258,,
161,,
161,,
112,,
106,,
159,,
213,,
185,,
125,,
115,,
95,,
74,,
168,,
168,,
100,,
77,,
102,,
193,,
95,,
92,,
163,,
258,,
574,,
889,,
889,,
854,,
668,,
291,,
237,,
482,,
517,,
527,,
533,,
606,,
409,,
409,,
277,,
192,,
128,,
173,,
177,,
149,,
129,,
283,,
137,,
100,,
100,,
176,,
294,,
441,,
813,,
739,,
409,,
274,,
601,,
898,,
899,,
899,,
781,,
492,,
208,,
346,,
543,,
589,,
623,,
496,,
448,,
334,,
334,,
218,,
170,,
84,,
231,,
110,,
68,,
71,,
245,,
149,,
194,,
194,,
209,,
308,,
226,,
314,,
299,,
308,,
222,,
151,,
91,,
232,,
232,,
197,,
512,,
840,,
929,,
574,,
160,,
402,,
599,,
758,,
812,,
812,,
725,,
627,,
419,,
323,,
251,,
132,,
104,,
156,,
231,,
148,,
148,,
188,,
122,,
186,,
102,,
113,,
90,,
174,,
102,,
126,,
105,,
105,,
153,,
115,,
101,,
95,,
109,,
75,,
94,,
123,,
176,,
101,,
101,,
78,,
122,,
227,,
152,,
265,,
222,,
227,,
268,,
221,,
405,,
405,,
723,,
830,,
645,,
408,,
327,,
166,,
240,,
383,,
516,,
438,,
438,,
377,,
221,,
216,,
261,,
286,,
227,,
150,,
85,,
118,,
283,,
283,,
133,,
130,,
147,,
146,,
159,,
143,,
113,,
91,,
104,,
172,,
172,,
452,,
207,,
127,,
146,,
236,,
105,,
117,,
124,,
273,,
177,,
177,,
340,,
704,,
962,,
963,,
824,,
421,,
229,,
256,,
323,,
298,,
298,,
202,,
108,,
144,,
396,,
393,,
641,,
944,,
961,,
915,,
710,,
710,,
541,,
368,,
249,,
105,,
106,,
250,,
198,,
227,,
292,,
273,,
273,,
235,,
146,,
271,,
157,,
121,,
110,,
201,,
139,,
130,,
130,,
130,,
136,,
84,,
136,,
254,,
141,,
161,,
163,,
204,,
233,,
301,,
301,,
464,,
440,,
398,,
361,,
209,,
140,,
403,,
555,,
467,,
374,,
374,,
315,,
221,,
141,,
117,,
177,,
75,,
65,,
68,,
151,,
187,,
187,,
201,,
251,,
153,,
68,,
71,,
115,,
79,,
128,,
164,,
104,,
104,,
81,,
264,,
212,,
123,,
121,,
140,,
170,,
87,,
